,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
i494,Geography name: Laurentian Valley; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053547075; Alternative geographic code: 3547075; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i495,Geography name: Petawawa; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504516; Alternative geographic code: 516; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i496,Geography name: Petawawa; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053547076; Alternative geographic code: 3547076; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i497,Geography name: Kingston; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503521; Alternative geographic code: 521; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i498,Geography name: Frontenac Islands; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053510005; Alternative geographic code: 3510005; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i499,Geography name: Kingston; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053510010; Alternative geographic code: 3510010; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i500,Geography name: South Frontenac; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053510020; Alternative geographic code: 3510020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i501,Geography name: Loyalist; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053511005; Alternative geographic code: 3511005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i502,Geography name: Belleville - Quinte West; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503522; Alternative geographic code: 522; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i503,Geography name: Tyendinaga; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053512001; Alternative geographic code: 3512001; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i504,Geography name: Belleville; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053512005; Alternative geographic code: 3512005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i505,Geography name: Quinte West; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053512015; Alternative geographic code: 3512015; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i506,Geography name: Stirling-Rawdon; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053512020; Alternative geographic code: 3512020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i507,Geography name: Cobourg; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504527; Alternative geographic code: 527; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i508,Geography name: Cobourg; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053514021; Alternative geographic code: 3514021; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i509,Geography name: Port Hope; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504528; Alternative geographic code: 528; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i510,Geography name: Port Hope; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053514020; Alternative geographic code: 3514020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i511,Geography name: Peterborough; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503529; Alternative geographic code: 529; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i512,Geography name: Otonabee-South Monaghan; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515005; Alternative geographic code: 3515005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i513,Geography name: Hiawatha First Nation; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515008; Alternative geographic code: 3515008; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i514,Geography name: Cavan Monaghan; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515013; Alternative geographic code: 3515013; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i515,Geography name: Peterborough; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515014; Alternative geographic code: 3515014; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i516,Geography name: Selwyn; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515015; Alternative geographic code: 3515015; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i517,Geography name: Curve Lake First Nation 35; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515019; Alternative geographic code: 3515019; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i518,Geography name: Douro-Dummer; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053515023; Alternative geographic code: 3515023; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i519,Geography name: Kawartha Lakes; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504530; Alternative geographic code: 530; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i520,Geography name: Kawartha Lakes; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053516010; Alternative geographic code: 3516010; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i521,Geography name: Centre Wellington; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504531; Alternative geographic code: 531; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i522,Geography name: Centre Wellington; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053523025; Alternative geographic code: 3523025; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i523,Geography name: Oshawa; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503532; Alternative geographic code: 532; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i524,Geography name: Whitby; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518009; Alternative geographic code: 3518009; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i525,Geography name: Oshawa; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518013; Alternative geographic code: 3518013; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i526,Geography name: Clarington; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518017; Alternative geographic code: 3518017; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i527,Geography name: Ingersoll; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504533; Alternative geographic code: 533; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i528,Geography name: Ingersoll; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053532018; Alternative geographic code: 3532018; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i529,Geography name: Toronto; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503535; Alternative geographic code: 535; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i530,Geography name: Pickering; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518001; Alternative geographic code: 3518001; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i531,Geography name: Ajax; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518005; Alternative geographic code: 3518005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i532,Geography name: Uxbridge; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053518029; Alternative geographic code: 3518029; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i533,Geography name: Vaughan; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519028; Alternative geographic code: 3519028; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i534,Geography name: Markham; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519036; Alternative geographic code: 3519036; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i535,Geography name: Richmond Hill; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519038; Alternative geographic code: 3519038; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i536,Geography name: Whitchurch-Stouffville; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519044; Alternative geographic code: 3519044; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i537,Geography name: Aurora; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519046; Alternative geographic code: 3519046; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i538,Geography name: Newmarket; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519048; Alternative geographic code: 3519048; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i539,Geography name: King; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519049; Alternative geographic code: 3519049; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i540,Geography name: East Gwillimbury; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519054; Alternative geographic code: 3519054; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i541,Geography name: Georgina; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519070; Alternative geographic code: 3519070; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i542,Geography name: Chippewas of Georgina Island First Nation; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053519076; Alternative geographic code: 3519076; Province or territory geocode: 35; Data quality flag: 04949; Data quality note: Short-form income data suppressed to meet the confidentiality requirements of the Statistics Act. Long-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,
i543,Geography name: Toronto; Geographic area type: City; Geographic area type abbreviation: C; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053520005; Alternative geographic code: 3520005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i544,Geography name: Mississauga; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053521005; Alternative geographic code: 3521005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i545,Geography name: Brampton; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053521010; Alternative geographic code: 3521010; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i546,Geography name: Caledon; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053521024; Alternative geographic code: 3521024; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i547,Geography name: Mono; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053522012; Alternative geographic code: 3522012; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i548,Geography name: Orangeville; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053522014; Alternative geographic code: 3522014; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i549,Geography name: Oakville; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053524001; Alternative geographic code: 3524001; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i550,Geography name: Milton; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053524009; Alternative geographic code: 3524009; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i551,Geography name: Halton Hills; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053524015; Alternative geographic code: 3524015; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i552,Geography name: New Tecumseth; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543007; Alternative geographic code: 3543007; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i553,Geography name: Bradford West Gwillimbury; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543014; Alternative geographic code: 3543014; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i554,Geography name: Hamilton; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503537; Alternative geographic code: 537; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i555,Geography name: Burlington; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053524002; Alternative geographic code: 3524002; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i556,Geography name: Hamilton; Geographic area type: City; Geographic area type abbreviation: C; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053525005; Alternative geographic code: 3525005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i557,Geography name: Grimsby; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526065; Alternative geographic code: 3526065; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i558,Geography name: St. Catharines - Niagara; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503539; Alternative geographic code: 539; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i559,Geography name: Fort Erie; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526003; Alternative geographic code: 3526003; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i560,Geography name: Port Colborne; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526011; Alternative geographic code: 3526011; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i561,Geography name: Wainfleet; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526014; Alternative geographic code: 3526014; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i562,Geography name: Pelham; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526028; Alternative geographic code: 3526028; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i563,Geography name: Welland; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526032; Alternative geographic code: 3526032; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i564,Geography name: Thorold; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526037; Alternative geographic code: 3526037; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i565,Geography name: Niagara Falls; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526043; Alternative geographic code: 3526043; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i566,Geography name: Niagara-on-the-Lake; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526047; Alternative geographic code: 3526047; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i567,Geography name: St. Catharines; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526053; Alternative geographic code: 3526053; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i568,Geography name: Lincoln; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053526057; Alternative geographic code: 3526057; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i569,Geography name: Kitchener - Cambridge - Waterloo; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503541; Alternative geographic code: 541; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i570,Geography name: North Dumfries; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530004; Alternative geographic code: 3530004; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i571,Geography name: Cambridge; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530010; Alternative geographic code: 3530010; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i572,Geography name: Kitchener; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530013; Alternative geographic code: 3530013; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i573,Geography name: Waterloo; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530016; Alternative geographic code: 3530016; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i574,Geography name: Wilmot; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530020; Alternative geographic code: 3530020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i575,Geography name: Woolwich; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053530035; Alternative geographic code: 3530035; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
